Id,regime_score,igo,gdp,continent
ZAM,-2.781780153,42.57285615,6.973426634,Africa
MAW,-4.328361687,38.95245863,6.466487589,Africa
MLT,9.146003464,39.24028706,8.926343511,Europe
ZIM,-1.69249887,34.58314505,7.84918055,Africa
SIN,-2,36.86581395,9.566191546,Asia
MAD,-2.389885057,25.4983908,6.863089639,Asia
GAM,3.532422418,41.27790644,7.088468408,Africa
GUY,0.023096865,39.68206458,7.878952239,South America
LES,-2.001865237,33.24784332,7.176495864,Africa
BOT,7.714020857,32.55365006,8.329434326,Africa
BAR,10,38.84840489,9.331805374,North America
SWA,-8.870967742,34.50264805,8.14787897,Africa
MAS,9.722751868,44.3455295,8.993382184,Africa
EQG,-6.162244658,28.98990373,7.619855139,Africa
FIJ,5.583377448,34.305982,8.452313387,Oceania
TON,0.512649159,28.00917431,8.236004428,Oceania
BNG,0.520405511,44.79516506,7.135139995,Asia
BAH,-9.504524887,36.48642534,9.523616594,Asia
QAT,-10,43.38054435,10.17354286,Asia
UAE,-8,46.52361396,10.26984845,Asia
BHM,8.98952591,35.32662624,9.63948323,North America
GRN,0.512649159,35.43797336,8.236004428,North America
GNB,-3.352323444,35.85061696,6.426371741,Africa
MZM,-2.480616038,31.49256506,6.879575266,Africa
COM,-1.163698271,28.44316396,7.572608754,Africa
PNG,10,38.28034934,8.067504015,Oceania
STP,0.512649159,25.90241315,8.236004428,Africa
ANG,-4.161919831,31.18037975,7.386541401,Africa
SUR,2.28401084,35.98130081,8.243400929,South America
CAP,2.491632373,29.1042524,7.857951776,Africa
SEY,0.512649159,30.60681024,8.236004428,Africa
DJI,-6.341285434,33.62587707,7.542191405,Africa
DMA,0.512649159,33.66256792,8.236004428,North America
SOL,7.109597336,23.07932183,7.86369946,Oceania
SLU,0.512649159,35.58906579,8.236004428,North America
SVG,0.512649159,29.34390901,8.236004428,North America
KIR,0.512649159,19.49541284,8.236004428,Oceania
VAN,0.512649159,25.43578879,7.100851909,Oceania
AAB,0.512649159,31.6198104,8.236004428,North America
BLZ,9.920385233,33.22407705,8.625722235,North America
SKN,0.512649159,27.26097312,8.236004428,North America
BRU,-6.947330706,21.12611967,9.862178162,Asia
MSI,0.512649159,15.51170213,7.401956313,Oceania
FSM,0.512649159,16.53065539,7.595566048,Oceania
NAM,6,35.07931873,8.378170109,Africa
TAJ,-3.9552396,24.42180095,6.994411629,Asia
KYR,-3,31.2,7.937797965,Asia
UZB,-9,32.55271565,7.902120315,Asia
MLD,6.64293305,32.57757705,7.727152056,Europe
MAC,6,34.27166124,8.447286145,Europe
ARM,3.272192513,27.02032086,7.777250688,Asia
AZE,-4.847528917,30.81072555,7.785092152,Asia
TKM,-8.91499472,27.54435058,8.419212341,Asia
KZK,-3.625066383,33.89644185,8.714852871,Asia
UKR,6.526232114,40.42077371,8.591799824,Europe
BLR,-1.162415409,31.58459136,8.839432615,Europe
EST,6,36.11586052,8.964659203,Europe
LAT,8,34.85983982,8.804937445,Europe
LIT,10,35.93450743,8.815849483,Europe
GRG,4.612761276,29.76677668,8.459162095,Asia
BOS,0,26.06589384,7.653336901,Europe
CRO,-2.295297806,44.45454545,8.924966624,Europe
SLV,10,44.44640523,9.494182781,Europe
ERI,-6,25.37256136,6.652617931,Africa
CZR,10,61.36493229,8.236004428,Europe
SLO,7.762463343,52.23680352,9.223506834,Europe
PAL,0.512649159,7.567814476,8.236004428,Oceania
